year,round,from_country_id,to_country_id,from_country,to_country,total_points,tele_points,jury_points
2008,final,cz,gb,cz,gb,0,,
2008,final,dk,ru,dk,ru,0,,
2008,final,dk,ua,dk,ua,7,,
2008,final,dk,gr,dk,gr,3,,
2008,final,dk,am,dk,am,0,,
2008,final,dk,no,dk,no,10,,
2008,final,dk,rs,dk,rs,0,,
2008,final,dk,tr,dk,tr,4,,
2008,final,dk,az,dk,az,0,,
2008,final,dk,il,dk,il,0,,
2008,final,dk,ba,dk,ba,2,,
2008,final,dk,ge,dk,ge,0,,
2008,final,dk,lv,dk,lv,6,,
2008,final,dk,pt,dk,pt,0,,
2008,final,dk,is,dk,is,12,,
2008,final,dk,dk,dk,dk,0,,
2008,final,dk,es,dk,es,1,,
2008,final,dk,al,dk,al,0,,
2008,final,dk,se,dk,se,8,,
2008,final,dk,fr,dk,fr,5,,
2008,final,dk,ro,dk,ro,0,,
2008,final,dk,hr,dk,hr,0,,
2008,final,dk,fi,dk,fi,0,,
2008,final,dk,de,dk,de,0,,
2008,final,dk,pl,dk,pl,0,,
2008,final,dk,gb,dk,gb,0,,
2008,final,ee,ru,ee,ru,12,,
2008,final,ee,ua,ee,ua,4,,
2008,final,ee,gr,ee,gr,1,,
2008,final,ee,am,ee,am,0,,
2008,final,ee,no,ee,no,8,,
2008,final,ee,rs,ee,rs,0,,
2008,final,ee,tr,ee,tr,0,,
2008,final,ee,az,ee,az,0,,
2008,final,ee,il,ee,il,0,,
2008,final,ee,ba,ee,ba,0,,
2008,final,ee,ge,ee,ge,5,,
2008,final,ee,lv,ee,lv,7,,
2008,final,ee,pt,ee,pt,0,,
2008,final,ee,is,ee,is,0,,
2008,final,ee,dk,ee,dk,3,,
2008,final,ee,es,ee,es,0,,
2008,final,ee,al,ee,al,0,,
2008,final,ee,se,ee,se,2,,
2008,final,ee,fr,ee,fr,6,,
2008,final,ee,ro,ee,ro,0,,
2008,final,ee,hr,ee,hr,0,,
2008,final,ee,fi,ee,fi,10,,
2008,final,ee,de,ee,de,0,,
2008,final,ee,pl,ee,pl,0,,
2008,final,ee,gb,ee,gb,0,,
2008,final,fi,ru,fi,ru,10,,
2008,final,fi,ua,fi,ua,3,,
2008,final,fi,gr,fi,gr,0,,
2008,final,fi,am,fi,am,0,,
2008,final,fi,no,fi,no,12,,
2008,final,fi,rs,fi,rs,0,,
2008,final,fi,tr,fi,tr,4,,
2008,final,fi,az,fi,az,0,,
2008,final,fi,il,fi,il,8,,
2008,final,fi,ba,fi,ba,6,,
2008,final,fi,ge,fi,ge,0,,
2008,final,fi,lv,fi,lv,0,,
2008,final,fi,pt,fi,pt,0,,
2008,final,fi,is,fi,is,7,,
2008,final,fi,dk,fi,dk,0,,
2008,final,fi,es,fi,es,1,,
2008,final,fi,al,fi,al,0,,
2008,final,fi,se,fi,se,5,,
2008,final,fi,fr,fi,fr,2,,
2008,final,fi,ro,fi,ro,0,,
2008,final,fi,hr,fi,hr,0,,
2008,final,fi,fi,fi,fi,0,,
